"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1223908339844861953","https://twitter.com/ShrutiTurner/status/1223908339844861953","@AsiaArmstrong81 @AcademicChatter Using pressure sensors to understand amputee prosthetic socket fit to minimise skin breakdown and improve quality of life.","2020-02-02 09:57 +0000","117.0","5.0","0.042735042735042736","0.0","0.0","4.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1223736223627464704","https://twitter.com/ShrutiTurner/status/1223736223627464704","@sarahlholden40 Cheese and marmite on crumpets...got to be my favourite breakfast snack!","2020-02-01 22:33 +0000","43.0","1.0","0.023255813953488372","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1223734114093862912","https://twitter.com/ShrutiTurner/status/1223734114093862912","January 31st, dividing the nation always apparently. https://t.co/b8eelnUazU","2020-02-01 22:25 +0000","239.0","2.0","0.008368200836820083","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1223505950256115712","https://twitter.com/ShrutiTurner/status/1223505950256115712","The long term devastation of these devices is well known. People are still cleaning up the dangers of years gone by, whilst more fall victim to them every day. Where is the progress? #prosthetics #landmines #amputee https://t.co/jAO9ra6J4l","2020-02-01 07:18 +0000","1161.0","17.0","0.014642549526270457","2.0","0.0","8.0","0.0","0.0","0.0","7.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1223160639859851266","https://twitter.com/ShrutiTurner/status/1223160639859851266","@OpenAcademics PS there are always coloured pens involved in my lists so they are nice to look at :)","2020-01-31 08:26 +0000","17.0","1.0","0.058823529411764705","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1223160375115485184","https://twitter.com/ShrutiTurner/status/1223160375115485184","@OpenAcademics If I finish early, great! I either reward myself with a break or I've found my motivation and crack on with the next thing on my list. Either way it's a bit of a win and I can cross things off my list. If I don't do it, I know that I've tried and something is achieved 2/2","2020-01-31 08:25 +0000","35.0","1.0","0.02857142857142857","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1223160092385738752","https://twitter.com/ShrutiTurner/status/1223160092385738752","@OpenAcademics Often my motivation is lacking because I'm overwhelmed with everything I need to do or I'm just in a rut. Either way I write a list of all the things on my mind/that need doing and then I put a date next to them. That way my mind is clearer and I have expectations to meet 1/n","2020-01-31 08:24 +0000","68.0","6.0","0.08823529411764706","0.0","1.0","2.0","1.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1222842906362466304","https://twitter.com/ShrutiTurner/status/1222842906362466304","@LegsDixon It's sometimes quicker to go to Edgware and get the bus instead of to Stanmore. I think my route from here is Central  then Northern then bus.

We only moved this month. 2nd full week of January, so it's not been long. We're the only ones occupying the building. It's weird haha","2020-01-30 11:24 +0000","50.0","2.0","0.04","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1222840082345988103","https://twitter.com/ShrutiTurner/status/1222840082345988103","@LegsDixon I've got a team meeting in the afternoon, so I'll be heading straight from White City. SK is totally out the way for me now. We can figure out a plan to meeting nearer the time (as who knows what public transport will be doing!) but, yes let's meet up if we can :)","2020-01-30 11:12 +0000","65.0","2.0","0.03076923076923077","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1222837182399950848","https://twitter.com/ShrutiTurner/status/1222837182399950848","@LegsDixon Of course you are, I should have known! I have a ticket, but don't worry I won't crash your lab trip :)","2020-01-30 11:01 +0000","67.0","1.0","0.014925373134328358","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
